layer_name,param_count,bits
conv1,9408,8
layer1.0.conv1,36864,6
layer1.0.conv2,36864,4
layer1.1.conv1,36864,4
layer1.1.conv2,36864,2
layer2.0.conv1,73728,2
layer2.0.conv2,147456,2
layer2.0.downsample.0,8192,2
layer2.1.conv1,147456,2
layer2.1.conv2,147456,2
layer3.0.conv1,294912,2
layer3.0.conv2,589824,4
layer3.0.downsample.0,32768,2
layer3.1.conv1,589824,4
layer3.1.conv2,589824,2
layer4.0.conv1,1179648,4
layer4.0.conv2,2359296,8
layer4.0.downsample.0,131072,2
layer4.1.conv1,2359296,8
layer4.1.conv2,2359296,6
fc,5130,8
